11185,00,21273,00,7330,00,15214,00,5077,00,21914,00,8531,00,19045,00,13837,00,12428,00
11071,00,24857,00,9234,00,20109,00,5014,00,25148,00,6318,00,22612,00,13611,00,12656,00
5139,00,15682,00,6656,00,15197,00,3562,00,16245,00,6152,00,19096,00,8199,00,8357,00
9548,00,24011,00,9008,00,15503,00,4959,00,28783,00,6662,00,18421,00,10197,00,15347,00
5942,00,19734,00,12199,00,18022,00,4492,00,26839,00,6284,00,20966,00,8906,00,9024,00
10953,00,23413,00,9750,00,22759,00,4664,00,30763,00,8340,00,25907,00,15218,00,17442,00
8772,00,23675,00,12450,00,17629,00,4307,00,28019,00,6113,00,18910,00,10839,00,11233,00
8054,00,26414,00,12369,00,17298,00,5627,00,28577,00,6114,00,19457,00,8838,00,12321,00
7070,00,26220,00,11451,00,19274,00,7256,00,31174,00,7238,00,25541,00,7438,00,10790,00
9818,00,24116,00,9308,00,21944,00,5619,00,25418,00,8618,00,28265,00,12281,00,8539,00

4557,00,12316,00,9359,00,12133,00,2388,00,18125,00,6586,00,4981,00,6257,00,13765,00
6001,00,18243,00,12801,00,23132,00,6277,00,25796,00,10822,00,9358,00,8522,00,19445,00
9496,00,17190,00,14463,00,26432,00,7533,00,26040,00,10015,00,14496,00,9437,00,21793,00
6940,00,15460,00,15387,00,25171,00,6650,00,28897,00,11816,00,16468,00,9333,00,20568,00
9106,00,14162,00,12620,00,23560,00,7185,00,24108,00,6874,00,19394,00,10484,00,22641,00
10802,00,24793,00,21931,00,34079,00,11085,00,38552,00,14291,00,17856,00,12585,00,27536,00
9443,00,22562,00,13885,00,24560,00,6419,00,31826,00,9749,00,16623,00,9891,00,30450,00
9921,00,20094,00,14761,00,25524,00,6251,00,31302,00,13841,00,8237,00,11163,00,21213,00
9566,00,16118,00,14668,00,27659,00,7905,00,22658,00,7397,00,17313,00,10963,00,22876,00
3371,00,6130,00,4960,00,10125,00,2664,00,11424,00,4945,00,6302,00,3525,00,8820,00

3498,00,21905,00,4300,00,19475,00,4775,00,19847,00,7002,00,11471,00,5961,00,13962,00
4386,00,20937,00,6365,00,18345,00,6227,00,22248,00,8930,00,17356,00,5964,00,10317,00
4969,00,21706,00,6538,00,15302,00,6118,00,21310,00,9120,00,16220,00,5086,00,8193,00
5740,00,15373,00,6794,00,21388,00,6015,00,21414,00,3824,00,12812,00,4147,00,10571,00
5745,00,27519,00,5104,00,27489,00,6566,00,27174,00,9214,00,16559,00,7479,00,16439,00
5486,00,29983,00,8783,00,31878,00,9597,00,29107,00,9083,00,21445,00,9382,00,19991,00
5163,00,22266,00,6726,00,25941,00,7667,00,28618,00,7157,00,15267,00,5000,00,11348,00
4490,00,24200,00,3581,00,20269,00,6675,00,24311,00,7787,00,15717,00,6675,00,14609,00
7795,00,21257,00,4297,00,25284,00,6123,00,24384,00,8445,00,19520,00,6685,00,13750,00
3535,00,18672,00,2579,00,15811,00,4577,00,19115,00,7285,00,11701,00,4689,00,8810,00

